2021-10-17 17:02:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-10-17 17:02:48 [main] INFO  i.c.m.ins.config.server.ConfigServer - Starting ConfigServer using Java 11.0.12 on localhost.localdomain with PID 55369 (/home/zeev/workspaces/k8s/zeev/aligelenler/eventmicroservices/config-server/target/classes started by zeev in /home/zeev/workspaces/k8s/zeev/aligelenler/eventmicroservices)
2021-10-17 17:02:48 [main] INFO  i.c.m.ins.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2021-10-17 17:02:49 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=c5b48b23-08e7-3d2a-b5cf-14bdfccf1275
2021-10-17 17:02:50 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-10-17 17:02:50 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-10-17 17:02:50 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-10-17 17:02:50 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.53]
2021-10-17 17:02:50 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-10-17 17:02:50 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1221 ms
2021-10-17 17:02:52 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/actuator/**'] with []
2021-10-17 17:02:52 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/encrypt/**'] with []
2021-10-17 17:02:52 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/decrypt/**'] with []
2021-10-17 17:02:52 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5368e981, org.springframework.security.web.context.SecurityContextPersistenceFilter@101c15ad, org.springframework.security.web.header.HeaderWriterFilter@27db45f, org.springframework.security.web.csrf.CsrfFilter@a4df251, org.springframework.security.web.authentication.logout.LogoutFilter@5922cff3, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@31b6b0c7, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4af70b83, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1c171746, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@9e50283, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5a466dd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1760e594, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@79b7c350, org.springframework.security.web.session.SessionManagementFilter@1aeff8ca, org.springframework.security.web.access.ExceptionTranslationFilter@73b0ed03, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@54275b5d]
2021-10-17 17:02:52 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-10-17 17:02:52 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-10-17 17:02:52 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-10-17 17:02:52 [main] INFO  i.c.m.ins.config.server.ConfigServer - Started ConfigServer in 4.62 seconds (JVM running for 5.138)
